,house_type,house_size,location,price,numBathrooms,numBalconies,verificationDate,SecurityDeposit,Status
2338,3BHKApartment,1700,Chembur,88000,3,0,a month,0,Semi-Furnished
2339,1BHKApartment,550,Mira Road East,13500,2,0,a month,0,Semi-Furnished
2340,1BHKApartment,730,Mira Road East,17500,2,0,a month,0,Semi-Furnished
2341,2BHKApartment,650,Dahisar,40000,2,0,a month,0,Unfurnished
2342,1BHKApartment,650,Thakurli,13000,1,0,a month,0,Semi-Furnished
2343,3BHKApartment,1500,Santacruz West,130000,3,0,a month,0,Semi-Furnished
2344,2BHKApartment,1250,Sector 21 Kamothe,23000,2,0,a month,0,Unfurnished
2345,2BHKApartment,1250,Kamothe,20000,2,0,a month,0,Unfurnished
2346,1BHKApartment,610,Kharghar,9700,2,0,a month,0,Unfurnished
2347,1BHKApartment,610,Kharghar,9600,2,0,a month,0,Unfurnished
2348,1BHKApartment,610,Kharghar,9400,2,0,a month,0,Semi-Furnished
2349,1BHKApartment,610,Kharghar,9800,2,0,a month,0,Unfurnished
2350,2BHKApartment,930,Andheri West,78000,2,0,a month,0,Semi-Furnished
2351,2BHKApartment,1050,Koper Khairane,37000,2,0,a month,0,Semi-Furnished
2352,2BHKApartment,900,Andheri West,75000,2,0,a month,0,Furnished
2353,2BHKApartment,1250,Andheri East,57000,2,0,a month,0,Furnished
2354,2BHKApartment,1100,Kandivali East,58000,2,0,a month,0,Semi-Furnished
2355,1BHKApartment,650,Ghansoli,49999,1,0,a month,0,Furnished
2356,2BHKApartment,1350,Koper Khairane,55000,2,0,a month,0,Semi-Furnished
2357,2BHKApartment,1250,Ghansoli,39999,2,0,a month,0,Unfurnished
2358,3BHKApartment,1740,Ghansoli,70000,2,0,a month,0,Furnished
2359,2BHKApartment,968,Goregaon West,76001,2,0,a month,0,Semi-Furnished
2360,2BHKApartment,1050,Koper Khairane,40000,1,0,a month,0,Unfurnished
2361,2BHKApartment,850,Goregaon West,65000,2,0,a month,0,Semi-Furnished
2362,2BHKApartment,1200,Kalyan West,20000,2,0,a month,0,Semi-Furnished
2363,1BHKApartment,560,Ghatkopar West,35000,1,0,a month,0,Semi-Furnished
2364,2BHKApartment,1100,Kharghar,40000,2,0,2 months,0,Furnished
2365,2BHKApartment,1000,Kharghar,30000,2,0,2 months,0,Semi-Furnished
2366,2BHKApartment,1100,Kharghar,22000,2,0,2 months,0,Unfurnished
2367,3BHKApartment,1050,Andheri East,80000,3,0,2 months,0,Furnished
2368,2BHKApartment,900,Thane West,40000,2,0,2 months,0,Furnished
2369,2BHKApartment,1100,Jogeshwari West,55000,2,0,2 months,0,Unfurnished
2370,2BHKApartment,1050,Andheri West,68000,2,0,a month,0,Furnished
2371,1BHKApartment,500,Khar West,60000,1,0,a month,0,Furnished
2372,2BHKApartment,1000,Bandra West,125000,2,0,a month,0,Semi-Furnished
2373,4BHKApartment,1800,Bandra West,500000,4,0,a month,0,Semi-Furnished
2374,1BHKApartment,600,Santacruz West,55000,1,0,a month,0,Semi-Furnished
2375,3BHKApartment,2000,Bandra West,400000,3,0,a month,0,Semi-Furnished
2376,1BHKApartment,800,Bandra West,165000,2,0,a month,0,Furnished
2377,2BHKApartment,950,Bandra West,110000,2,0,a month,0,Semi-Furnished
2378,2BHKApartment,1000,Bandra West,175000,2,0,a month,0,Furnished
2379,4BHKApartment,1700,Santacruz West,300000,4,0,a month,0,Semi-Furnished
2380,2BHKApartment,900,Bandra West,125000,2,0,a month,0,Furnished
2381,3BHKApartment,1700,Juhu,250000,3,0,a month,0,Semi-Furnished
2382,2BHKApartment,1000,Bandra West,135000,2,0,a month,0,Furnished
2383,3BHKApartment,1250,Santacruz West,225000,3,0,a month,0,Semi-Furnished
2384,4BHKApartment,3900,Bandra West,850000,4,0,a month,0,Semi-Furnished
2385,3BHKApartment,1450,Powai,120000,3,0,a month,0,Semi-Furnished
2386,1BHKApartment,720,Andheri East,45000,2,0,a month,0,Unfurnished
2387,1BHKApartment,650,Andheri East,45000,1,0,a month,0,Semi-Furnished
2388,1BHKApartment,580,Malad West,22000,1,0,a month,0,Unfurnished
2389,2BHKApartment,840,Malad West,32000,1,0,a month,0,Semi-Furnished
2390,1BHKApartment,600,Goregaon West,29500,2,0,a month,0,Unfurnished
2391,1BHKApartment,450,Goregaon West,30000,2,0,a month,0,Unfurnished
2392,1BHKApartment,450,Goregaon West,28000,2,0,a month,0,Unfurnished
2393,2BHKApartment,1275,Kharghar,39999,2,0,a month,0,Semi-Furnished
2394,2BHKApartment,1300,Koper Khairane,65000,2,0,a month,0,Semi-Furnished
2395,1BHKApartment,650,Kalamboli,18000,1,0,2 months,0,Furnished
2396,1BHKApartment,680,Kalamboli,13000,1,0,2 months,0,Unfurnished
2397,1BHKApartment,700,Kalamboli,15000,1,0,2 months,0,Unfurnished
2398,2BHKApartment,950,Kalamboli,17000,2,0,2 months,0,Semi-Furnished
2399,1BHKApartment,620,Kalamboli,11000,1,0,2 months,0,Unfurnished
2400,4BHKApartment,2650,Kalamboli,45000,4,0,2 months,0,Furnished
2401,2BHKApartment,900,Andheri West,65000,2,0,25 days,0,Furnished
2402,2BHKApartment,900,Andheri West,65000,2,0,25 days,0,Furnished
2403,1BHKApartment,500,Andheri West,45000,1,0,25 days,0,Semi-Furnished
2404,2BHKApartment,1000,Powai,68000,2,0,25 days,0,Furnished
2405,1BHKApartment,590,Thane West,24000,1,0,25 days,0,Semi-Furnished
2406,1BHKApartment,570,Thane West,23000,1,0,25 days,0,Semi-Furnished
2407,2BHKApartment,830,Thane West,40000,2,0,25 days,0,Semi-Furnished
2408,2BHKApartment,750,Mulund West,55000,2,0,24 days,0,Furnished
2409,2BHKApartment,1000,Kharghar,28000,2,0,25 days,0,Semi-Furnished
2410,1BHKApartment,410,Kandivali West,18000,2,0,16 days,0,Unfurnished
2411,1BHKApartment,640,Koper Khairane,27000,1,0,16 days,0,Furnished
2412,2BHKApartment,1080,Kalyan West,22000,2,0,22 days,0,Semi-Furnished
2413,2BHKApartment,900,Thane West,30000,2,0,18 days,0,Semi-Furnished
2414,2BHKApartment,1060,Kalyan West,26000,2,0,17 days,0,Furnished
2415,2BHKApartment,930,Thane West,33000,2,0,21 days,0,Semi-Furnished
2416,3BHKApartment,1390,Thane West,55000,2,0,21 days,0,Furnished
2417,2BHKApartment,890,Thane West,38000,2,0,21 days,0,Semi-Furnished
2418,2BHKApartment,930,Thane West,47000,2,0,21 days,0,Semi-Furnished
2419,1BHKApartment,620,Naigaon East,9500,2,0,23 days,0,Unfurnished
2420,2BHKApartment,1100,Goregaon East,93000,2,0,24 days,0,Furnished
2421,2BHKApartment,1400,Kanjurmarg,75000,2,0,22 days,0,Furnished
2422,1BHKApartment,620,Thane West,22000,2,0,22 days,0,Semi-Furnished
2423,1BHKApartment,710,Bhayandar East,27000,2,0,18 days,0,Semi-Furnished
2424,1BHKApartment,710,Mira Road East,18000,2,0,18 days,0,Semi-Furnished
2425,1BHKApartment,650,Mira Road East,22000,2,0,18 days,0,Semi-Furnished
2426,1BHKApartment,690,Mira Road East,16500,2,0,18 days,0,Semi-Furnished
2427,1BHKApartment,760,Mira Road East,18000,2,0,18 days,0,Semi-Furnished
2428,2BHKApartment,1020,Mira Road East,24000,2,0,18 days,0,Semi-Furnished
2429,2BHKApartment,710,Mira Road East,26000,2,0,18 days,0,Semi-Furnished
